IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
47.236.102.102	8443	TRUE	SIN	Asia Pacific	Singapore	232 ms	4228 kB/s
47.236.10.182	2096	TRUE	SIN	Asia Pacific	Singapore	221 ms	4221 kB/s
47.242.174.27	8443	TRUE	HKG	Asia Pacific	Hong Kong	68 ms	4219 kB/s
8.222.193.65	2053	TRUE	SIN	Asia Pacific	Singapore	222 ms	4217 kB/s
47.243.206.150	2096	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	4204 kB/s
47.236.145.85	2096	TRUE	SIN	Asia Pacific	Singapore	222 ms	4194 kB/s
47.237.95.13	2087	TRUE	SIN	Asia Pacific	Singapore	225 ms	4180 kB/s
8.222.208.38	2083	TRUE	SIN	Asia Pacific	Singapore	246 ms	4171 kB/s
47.237.94.140	2083	TRUE	SIN	Asia Pacific	Singapore	243 ms	4166 kB/s
8.210.21.65	2087	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	4143 kB/s
47.245.126.151	8443	TRUE	SIN	Asia Pacific	Singapore	250 ms	4142 kB/s
47.236.17.193	8443	TRUE	SIN	Asia Pacific	Singapore	224 ms	4137 kB/s
47.245.118.70	2087	TRUE	SIN	Asia Pacific	Singapore	232 ms	4118 kB/s
47.237.94.140	8443	TRUE	SIN	Asia Pacific	Singapore	215 ms	4108 kB/s
47.236.253.41	2083	TRUE	SIN	Asia Pacific	Singapore	207 ms	4044 kB/s
8.219.66.156	2087	TRUE	NRT	Asia Pacific	Tokyo	285 ms	4037 kB/s
47.236.202.91	8443	TRUE	SIN	Asia Pacific	Singapore	222 ms	4028 kB/s
47.243.107.148	8443	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	4018 kB/s
8.219.49.65	2087	TRUE	SIN	Asia Pacific	Singapore	243 ms	3997 kB/s
47.237.92.26	8443	TRUE	SIN	Asia Pacific	Singapore	209 ms	3991 kB/s
47.237.100.206	2096	TRUE	SIN	Asia Pacific	Singapore	224 ms	3986 kB/s
47.238.164.202	443	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	3932 kB/s
8.222.208.38	8443	TRUE	SIN	Asia Pacific	Singapore	222 ms	3905 kB/s
47.236.9.152	8443	TRUE	SIN	Asia Pacific	Singapore	215 ms	3901 kB/s
8.219.66.156	2096	TRUE	NRT	Asia Pacific	Tokyo	302 ms	3899 kB/s
47.236.9.152	2083	TRUE	SIN	Asia Pacific	Singapore	233 ms	3872 kB/s
8.222.208.38	2096	TRUE	SIN	Asia Pacific	Singapore	235 ms	3852 kB/s
47.243.139.243	2096	TRUE	HKG	Asia Pacific	Hong Kong	68 ms	3805 kB/s
47.243.173.187	2096	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	3797 kB/s
47.237.95.140	2083	TRUE	SIN	Asia Pacific	Singapore	217 ms	3791 kB/s
47.236.117.48	2087	TRUE	SIN	Asia Pacific	Singapore	225 ms	3723 kB/s
8.219.66.156	8443	TRUE	NRT	Asia Pacific	Tokyo	307 ms	3692 kB/s
47.243.203.119	2087	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	3685 kB/s
47.237.94.140	2087	TRUE	SIN	Asia Pacific	Singapore	220 ms	3666 kB/s
8.219.153.237	8443	TRUE	NRT	Asia Pacific	Tokyo	290 ms	3647 kB/s
8.222.214.231	8443	TRUE	SIN	Asia Pacific	Singapore	225 ms	3625 kB/s
47.245.86.230	2053	TRUE	SIN	Asia Pacific	Singapore	237 ms	3619 kB/s
47.245.102.52	8443	TRUE	SIN	Asia Pacific	Singapore	226 ms	3598 kB/s
8.222.214.231	2083	TRUE	SIN	Asia Pacific	Singapore	223 ms	3586 kB/s
47.236.145.85	2083	TRUE	SIN	Asia Pacific	Singapore	216 ms	3583 kB/s
8.210.48.107	2083	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	3548 kB/s
47.245.126.151	2053	TRUE	SIN	Asia Pacific	Singapore	225 ms	3526 kB/s
8.222.208.38	2087	TRUE	SIN	Asia Pacific	Singapore	227 ms	3471 kB/s
47.237.82.15	8443	TRUE	SIN	Asia Pacific	Singapore	216 ms	3434 kB/s
47.245.84.124	2087	TRUE	SIN	Asia Pacific	Singapore	234 ms	3425 kB/s
8.222.214.231	2087	TRUE	SIN	Asia Pacific	Singapore	233 ms	3401 kB/s
8.217.147.230	2083	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	3395 kB/s
47.236.85.11	8443	TRUE	SIN	Asia Pacific	Singapore	224 ms	3378 kB/s
8.210.119.11	2096	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	3369 kB/s
47.245.86.230	8443	TRUE	SIN	Asia Pacific	Singapore	247 ms	3333 kB/s
8.217.250.222	8443	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	3304 kB/s
47.242.202.230	2087	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	3250 kB/s
47.76.204.76	2096	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	3218 kB/s
8.218.3.12	8443	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	3212 kB/s
47.237.95.156	8443	TRUE	SIN	Asia Pacific	Singapore	210 ms	3196 kB/s
47.237.95.146	2096	TRUE	SIN	Asia Pacific	Singapore	215 ms	3189 kB/s
47.245.84.124	8443	TRUE	SIN	Asia Pacific	Singapore	220 ms	3189 kB/s
8.210.245.224	2096	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	3174 kB/s
47.242.202.230	8443	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	3108 kB/s
8.210.3.24	8443	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	3099 kB/s
8.210.48.107	2087	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	3070 kB/s
8.219.111.175	2096	TRUE	SIN	Asia Pacific	Singapore	245 ms	3062 kB/s
8.210.146.108	2096	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	2924 kB/s
47.237.92.26	2087	TRUE	SIN	Asia Pacific	Singapore	229 ms	2921 kB/s
47.245.105.224	2083	TRUE	SIN	Asia Pacific	Singapore	245 ms	2881 kB/s
47.237.95.13	8443	TRUE	SIN	Asia Pacific	Singapore	226 ms	2870 kB/s
47.245.84.124	2053	TRUE	SIN	Asia Pacific	Singapore	255 ms	2841 kB/s
47.236.125.62	8443	TRUE	NRT	Asia Pacific	Tokyo	314 ms	2761 kB/s
47.236.125.62	2083	TRUE	NRT	Asia Pacific	Tokyo	295 ms	2748 kB/s
8.217.147.230	8443	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	2678 kB/s
8.210.146.108	2083	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	2674 kB/s
47.245.105.224	2087	TRUE	SIN	Asia Pacific	Singapore	248 ms	2633 kB/s
47.237.95.156	2096	TRUE	SIN	Asia Pacific	Singapore	221 ms	2562 kB/s
47.236.125.62	2096	TRUE	NRT	Asia Pacific	Tokyo	294 ms	2537 kB/s
47.242.176.237	2087	TRUE	HKG	Asia Pacific	Hong Kong	74 ms	2537 kB/s
47.236.170.225	2096	TRUE	SIN	Asia Pacific	Singapore	213 ms	2412 kB/s
8.218.3.12	2087	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	2409 kB/s
8.217.147.230	2087	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	2405 kB/s
8.218.204.128	8443	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	2361 kB/s
8.217.127.73	8443	TRUE	HKG	Asia Pacific	Hong Kong	70 ms	2298 kB/s
47.236.170.225	8443	TRUE	SIN	Asia Pacific	Singapore	224 ms	2240 kB/s
47.237.95.146	2087	TRUE	SIN	Asia Pacific	Singapore	228 ms	2239 kB/s
8.210.175.109	2096	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	2194 kB/s
47.236.125.62	2053	TRUE	NRT	Asia Pacific	Tokyo	312 ms	2179 kB/s
47.242.232.14	8443	TRUE	HKG	Asia Pacific	Hong Kong	74 ms	1968 kB/s
47.236.146.249	2096	TRUE	SIN	Asia Pacific	Singapore	228 ms	1929 kB/s
8.210.245.224	8443	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	1855 kB/s
47.245.105.224	2053	TRUE	SIN	Asia Pacific	Singapore	245 ms	1804 kB/s
47.245.126.151	2083	TRUE	SIN	Asia Pacific	Singapore	231 ms	1792 kB/s
